Kecamatan;Kelurahan;Jumlah SLS
DEMPO SELATAN;ATUNG BUNGSU;13
DEMPO SELATAN;KANCE DIWE;11
DEMPO SELATAN;LUBUK BUNTAK;11
DEMPO SELATAN;PENJALANG;14
DEMPO SELATAN;PERAHU DIPO;10
DEMPO TENGAH;CANDI JAYA;15
DEMPO TENGAH;JOKOH;11
DEMPO TENGAH;KARANG DALO;10
DEMPO TENGAH;PADANG TEMU;16
DEMPO TENGAH;PELANG KENIDAI;11
DEMPO UTARA;AGUNG LAWANGAN;18
DEMPO UTARA;BUMI AGUNG;13
DEMPO UTARA;BURUNG DINANG;11
DEMPO UTARA;JANGKAR MAS;7
DEMPO UTARA;MUARA SIBAN;14
DEMPO UTARA;PAGAR WANGI;9
DEMPO UTARA;REBA TINGGI;10
PAGAR ALAM SELATAN;BESEMAH SERASAN;22
PAGAR ALAM SELATAN;GUNUNG DEMPO;13
PAGAR ALAM SELATAN;NENDAGUNG;20
PAGAR ALAM SELATAN;SIDOREJO;18
PAGAR ALAM SELATAN;TANJUNG AGUNG;6
PAGAR ALAM SELATAN;TEBAT GIRI INDAH;16
PAGAR ALAM SELATAN;TUMBAK ULAS;31
PAGAR ALAM SELATAN;ULU LURAH;15
PAGAR ALAM UTARA;ALUN DUA;9
PAGAR ALAM UTARA;BANGUN JAYA;6
PAGAR ALAM UTARA;BANGUN REJO;18
PAGAR ALAM UTARA;BERINGIN JAYA;16
PAGAR ALAM UTARA;CURUP JARE;9
PAGAR ALAM UTARA;DEMPO MAKMUR;14
PAGAR ALAM UTARA;KURIPAN BABAS;8
PAGAR ALAM UTARA;PAGAR ALAM;23
PAGAR ALAM UTARA;SELIBAR;16
PAGAR ALAM UTARA;SUKOREJO;14
